1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
285	-1.153356	182.401088	6.383109	0.011389	2.9
286	-1.132167	183.401079	6.351881	0.005538	2.6
287	-1.160289	183.346139	6.353589	0.006520	2.7
288	-1.100371	183.307839	6.354780	0.007637	2.7
289	-1.134595	183.261578	6.356219	0.006538	2.8
290	-1.098644	184.248813	6.325646	0.008087	3.1
291	-1.149427	184.252262	6.325540	0.014425	2.7
292	-1.164965	185.250864	6.294914	0.006236	2.7
293	-1.104841	186.250831	6.264541	0.010009	2.8
294	-1.112795	186.196622	6.266180	0.007491	2.8
295	-1.139730	187.177768	6.236648	0.007325	2.9
296	-1.125255	187.122831	6.238294	0.008724	3.0
297	-1.129186	188.101141	6.209107	0.004503	2.9
298	-1.157534	189.099405	6.179605	0.009492	2.7
299	-1.080887	189.173370	6.177430	0.008852	2.8
300	-1.113556	189.118429	6.179046	0.010190	2.6
301	-1.100796	190.118429	6.149778	0.005374	3.0
302	-1.178869	191.114339	6.120903	0.007453	2.8
303	-1.122915	191.144690	6.120028	0.011767	2.7
304	-1.093260	192.144690	6.091315	0.007182	2.7
305	-1.148608	193.144690	6.062870	0.009060	2.9
306	-1.093061	194.144591	6.034692	0.007509	3.2
307	-1.099645	195.143385	6.006806	0.007257	3.1
308	-1.097002	195.088453	6.008333	0.009155	3.1
309	-1.122060	196.087769	5.980675	0.007884	2.8
310	-1.126713	197.087608	5.953256	0.010668	2.6
311	-1.114518	197.414108	5.944357	0.005334	3.8
312	-1.143171	197.893364	5.931342	0.008552	3.6
313	-1.137520	198.891783	5.904411	0.007285	3.4
314	-1.152087	198.837012	5.905882	0.010304	3.2
315	-1.121424	199.837000	5.879139	0.007428	3.2
316	-1.154133	199.782646	5.880586	0.004997	3.2
317	-1.106614	199.839125	5.879082	0.007349	3.3
318	-1.149116	199.785002	5.880523	0.006891	3.6
319	-1.128819	200.780772	5.854121	0.010568	3.3
320	-1.176286	201.780768	5.827843	0.006835	3.3
321	-1.142783	201.725828	5.829281	0.007388	3.4
322	-1.174995	202.692047	5.804102	0.010259	3.2
323	-1.156401	202.637106	5.805527	0.012812	3.6
324	-1.060276	203.637106	5.779683	0.006540	2.8
325	-1.063616	203.584543	5.781036	0.007923	2.8
326	-1.074598	204.254226	5.763849	0.009402	2.8
327	-1.148706	204.199288	5.765255	0.011663	2.9
328	-1.169074	205.195930	5.739853	0.009777	2.8
329	-1.151609	206.195924	5.714589	0.009394	2.8
330	-1.180197	206.140983	5.715971	0.020289	2.8
331	-1.126976	207.140983	5.690917	0.010638	2.8
332	-1.126729	208.140983	5.666081	0.007163	2.8
333	-1.145416	208.086042	5.667440	0.007957	2.9
334	-1.142440	208.177917	5.665168	0.009374	2.9
335	-1.136405	209.177737	5.640560	0.006359	4.1
336	-1.110834	210.167680	5.616405	0.009752	2.8
337	-1.118175	211.143596	5.592794	0.008501	2.8
338	-1.116790	212.143593	5.568806	0.012726	2.9
339	-1.151501	212.088652	5.570118	0.007997	2.8
340	-1.153467	212.061571	5.570766	0.006750	2.8
341	-1.144530	213.037346	5.547539	0.008976	2.7
342	-1.164127	213.016189	5.548041	0.010626	2.9
343	-1.132580	212.961248	5.549344	0.009911	3.3
344	-1.160031	212.906335	5.550646	0.012757	2.9
345	-1.162230	213.906335	5.527017	0.006949	2.9
346	-1.124810	213.851394	5.528310	0.013641	2.8
347	-1.160328	214.579921	5.511214	0.005558	3.0
348	-1.093882	214.584859	5.511099	0.006919	2.8
349	-1.140078	215.580960	5.487895	0.006916	2.8
350	-1.161125	216.096765	5.475956	0.007853	3.0
351	-1.109999	216.267770	5.472009	0.010899	2.7
352	-1.113239	216.212988	5.473273	0.007144	3.1
353	-1.084411	217.212987	5.450296	0.007751	2.7
354	-1.091432	217.158584	5.451541	0.016997	2.7
355	-1.161667	218.158584	5.428747	0.010556	2.8
356	-1.099207	219.158584	5.406142	0.008955	2.8
357	-1.138051	219.103643	5.407379	0.014344	2.7
358	-1.119240	220.103643	5.384951	0.006273	2.6
359	-1.157246	220.133281	5.384289	0.008403	2.6
360	-1.120689	220.198845	5.382826	0.008870	2.9
361	-1.109422	221.198845	5.360601	0.010944	3.0
362	-1.135969	221.143904	5.361817	0.012437	2.7
363	-1.165094	222.143904	5.339765	0.011077	2.8
364	-1.148118	223.143904	5.317894	0.005885	2.9
365	-1.115687	224.099020	5.297171	0.007690	2.7
366	-1.129137	224.044092	5.298358	0.013832	3.2
367	-1.130661	225.044092	5.276824	0.013426	3.0
368	-1.112723	226.044092	5.255464	0.004411	3.1
369	-1.112857	226.253878	5.251005	0.005634	3.1
370	-1.146119	226.235905	5.251387	0.009663	3.2
371	-1.129413	226.180972	5.252554	0.007214	3.2
372	-1.165644	227.180897	5.231391	0.011246	3.1
373	-1.124809	227.125956	5.232550	0.008333	3.1
374	-1.107030	228.125956	5.211546	0.012684	3.1
375	-1.153387	228.071015	5.212696	0.013129	3.3
376	-1.144836	229.071015	5.191851	0.005947	3.1
377	-1.137886	230.069450	5.171204	0.008984	3.0
378	-1.156309	230.016121	5.172303	0.007676	3.2
379	-1.143629	231.016004	5.151781	0.008263	3.1
380	-1.122711	230.961064	5.152905	0.005806	3.4
381	-1.153705	231.783549	5.136139	0.008993	3.2
382	-1.108841	231.728848	5.137250	0.010300	3.0
383	-1.173513	231.810248	5.135596	0.012652	3.1
384	-1.133286	232.810248	5.115362	0.008729	3.1
385	-1.101860	233.140325	5.108718	0.004844	3.2
386	-1.081713	234.133499	5.088831	0.007271	3.1
387	-1.153615	234.104406	5.089412	0.005859	3.0
388	-1.135329	234.049611	5.090505	0.007908	3.2
389	-1.153141	234.007381	5.091348	0.009307	3.2
390	-1.082999	233.952594	5.092442	0.003942	3.7
391	-1.154360	233.922242	5.093049	0.007887	3.2
392	-1.144777	233.885470	5.093783	0.009619	3.1
393	-1.172889	234.885457	5.073877	0.019781	2.8
394	-1.134546	235.885457	5.054126	0.008660	2.6
395	-1.100572	236.885457	5.034527	0.008508	2.8
396	-1.139752	236.831069	5.035589	0.007038	3.0
397	-1.119657	236.890615	5.034427	0.006953	3.0
398	-1.159003	236.835869	5.035496	0.012175	2.7
399	-1.124953	237.835867	5.016041	0.007013	2.8
400	-1.135086	238.833581	4.996780	0.006520	2.8
401	-1.129038	238.778648	4.997837	0.009845	3.2
402	-1.137054	239.778594	4.978673	0.007313	2.8
403	-1.157124	240.778589	4.959655	0.011246	2.8
404	-1.123225	240.723648	4.960696	0.008289	2.7
405	-1.147929	241.723619	4.941814	0.007968	2.8
406	-1.128540	241.681015	4.942616	0.006014	2.9
407	-1.132411	242.167301	4.933483	0.008166	2.8
408	-1.162136	242.517953	4.926918	0.007583	3.0
409	-1.140491	243.517890	4.908293	0.007848	2.8
410	-1.158647	243.469219	4.909197	0.010872	2.7
411	-1.153254	244.259094	4.894578	0.008177	2.7
412	-1.132145	244.204153	4.895592	0.008907	2.7
413	-1.121883	244.411913	4.891760	0.010461	2.9
414	-1.118109	244.356972	4.892773	0.014606	2.6
415	-1.136656	245.356972	4.874404	0.010187	2.7
416	-1.137074	245.302031	4.875409	0.008871	2.7
417	-1.144150	245.247095	4.876415	0.008330	2.9
418	-1.115688	246.231868	4.858445	0.007028	3.3
419	-1.174208	246.177518	4.859433	0.007399	2.7
420	-1.125724	247.136164	4.842060	0.005436	2.7
421	-1.193548	248.116596	4.824420	0.012229	2.8
422	-1.137227	248.061656	4.825405	0.010522	2.9
423	-1.155855	249.061656	4.807537	0.005936	3.0
424	-1.142203	250.048105	4.790040	0.007924	2.9
425	-1.141435	249.998689	4.790914	0.006108	2.7
426	-1.161175	250.231362	4.786804	0.009311	2.7
427	-1.073980	250.176629	4.787770	0.007026	2.8
428	-1.105316	251.174517	4.770216	0.009923	2.8
429	-1.141315	252.174500	4.752755	0.005099	2.8
430	-1.154928	252.941993	4.739439	0.006500	2.9
431	-1.072335	252.889073	4.740355	0.005505	2.7
432	-1.136177	253.007249	4.738310	0.005282	2.9
433	-1.127513	253.910692	4.722739	0.011760	3.1
434	-1.144263	253.855861	4.723681	0.012759	2.9
435	-1.143526	254.473604	4.713088	0.005156	3.1
436	-1.103148	254.419129	4.714020	0.012949	3.0
437	-1.079098	255.419050	4.696968	0.006883	2.7
438	-1.129584	256.419044	4.680037	0.010656	2.8
439	-1.129080	256.365056	4.680948	0.007852	3.2
440	-1.129231	256.310115	4.681875	0.006363	2.8
441	-1.158281	256.260711	4.682710	0.012110	2.9
442	-1.096965	257.259644	4.665899	0.009369	3.1
443	-1.135812	258.259644	4.649191	0.015231	2.7
444	-1.119469	259.259570	4.632603	0.006289	3.2
445	-1.113683	259.204694	4.633510	0.006510	2.8
446	-1.145863	260.194617	4.617199	0.009811	2.7
447	-1.124036	260.329925	4.614978	0.006750	3.2
448	-1.116171	261.211743	4.600558	0.006738	2.7
449	-1.122464	261.228093	4.600291	0.009553	3.0
450	-1.142318	262.226095	4.584081	0.006696	2.7
451	-1.143550	262.171322	4.584968	0.008719	2.8
452	-1.169068	263.117162	4.569704	0.006542	3.3
453	-1.134800	264.016226	4.555289	0.009490	3.0
454	-1.126688	263.961286	4.556168	0.007170	3.0
455	-1.145041	264.960703	4.540244	0.008698	2.7
456	-1.143246	264.917293	4.540933	0.010569	2.9
457	-1.084656	264.863407	4.541789	0.009526	2.8
458	-1.137572	264.811912	4.542608	0.008518	3.0
459	-1.126105	265.434142	4.532740	0.012462	3.0
460	-1.112824	266.434142	4.516970	0.008035	2.9
461	-1.138355	267.434043	4.501311	0.004406	2.9
462	-1.181095	267.400351	4.501837	0.010005	2.8
463	-1.075583	267.372259	4.502276	0.007881	2.9
